id,title,authors,abstract,published,categories,pdf_url,processed_abstract
2503.22679v1,Q-Insight: Understanding Image Quality via Visual Reinforcement Learning,"['Weiqi Li', 'Xuanyu Zhang', 'Shijie Zhao', 'Yabin Zhang', 'Junlin Li', 'Li Zhang', 'Jian Zhang']","Image quality assessment (IQA) focuses on the perceptual visual quality of images, playing a crucial role in downstream tasks such as image reconstruction, compression, and generation. The rapid advancement of multi-modal large language models (MLLMs) has significantly broadened the scope of IQA, moving toward comprehensive image quality understanding that incorporates content analysis, degradation perception, and comparison reasoning beyond mere numerical scoring. Previous MLLM-based methods typically either generate numerical scores lacking interpretability or heavily rely on supervised fine-tuning (SFT) using large-scale annotated datasets to provide descriptive assessments, limiting their flexibility and applicability. In this paper, we propose Q-Insight, a reinforcement learning-based model built upon group relative policy optimization (GRPO), which demonstrates strong visual reasoning capability for image quality understanding while requiring only a limited amount of rating scores and degradation labels. By jointly optimizing score regression and degradation perception tasks with carefully designed reward functions, our approach effectively exploits their mutual benefits for enhanced performance. Extensive experiments demonstrate that Q-Insight substantially outperforms existing state-of-the-art methods in both score regression and degradation perception tasks, while exhibiting impressive zero-shot generalization to comparison reasoning tasks. Code will be available at https://github.com/lwq20020127/Q-Insight.",2025-03-28,['cs.CV'],http://arxiv.org/pdf/2503.22679v1,image quality assessment iqa focus perceptual visual quality image playing crucial role downstream task image reconstruction compression generation rapid advancement multimodal large language model mllms significantly broadened scope iqa moving toward comprehensive image quality understanding incorporates content analysis degradation perception comparison reasoning beyond mere numerical scoring previous mllmbased method typically either generate numerical score lacking interpretability heavily rely supervised finetuning sft using largescale annotated datasets provide descriptive assessment limiting flexibility applicability paper propose qinsight reinforcement learningbased model built upon group relative policy optimization grpo demonstrates strong visual reasoning capability image quality understanding requiring limited amount rating score degradation label jointly optimizing score regression degradation perception task carefully designed reward function approach effectively exploit mutual benefit enhanced performance extensive experiment demonstrate qinsight substantially outperforms existing stateoftheart method score regression degradation perception task exhibiting impressive zeroshot generalization comparison reasoning task code available httpsgithubcomlwq20020127qinsight
2503.22677v1,DSO: Aligning 3D Generators with Simulation Feedback for Physical Soundness,"['Ruining Li', 'Chuanxia Zheng', 'Christian Rupprecht', 'Andrea Vedaldi']","Most 3D object generators focus on aesthetic quality, often neglecting physical constraints necessary in applications. One such constraint is that the 3D object should be self-supporting, i.e., remains balanced under gravity. Prior approaches to generating stable 3D objects used differentiable physics simulators to optimize geometry at test-time, which is slow, unstable, and prone to local optima. Inspired by the literature on aligning generative models to external feedback, we propose Direct Simulation Optimization (DSO), a framework to use the feedback from a (non-differentiable) simulator to increase the likelihood that the 3D generator outputs stable 3D objects directly. We construct a dataset of 3D objects labeled with a stability score obtained from the physics simulator. We can then fine-tune the 3D generator using the stability score as the alignment metric, via direct preference optimization (DPO) or direct reward optimization (DRO), a novel objective, which we introduce, to align diffusion models without requiring pairwise preferences. Our experiments show that the fine-tuned feed-forward generator, using either DPO or DRO objective, is much faster and more likely to produce stable objects than test-time optimization. Notably, the DSO framework works even without any ground-truth 3D objects for training, allowing the 3D generator to self-improve by automatically collecting simulation feedback on its own outputs.",2025-03-28,"['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/pdf/2503.22677v1,3d object generator focus aesthetic quality often neglecting physical constraint necessary application one constraint 3d object selfsupporting ie remains balanced gravity prior approach generating stable 3d object used differentiable physic simulator optimize geometry testtime slow unstable prone local optimum inspired literature aligning generative model external feedback propose direct simulation optimization dso framework use feedback nondifferentiable simulator increase likelihood 3d generator output stable 3d object directly construct dataset 3d object labeled stability score obtained physic simulator finetune 3d generator using stability score alignment metric via direct preference optimization dpo direct reward optimization dro novel objective introduce align diffusion model without requiring pairwise preference experiment show finetuned feedforward generator using either dpo dro objective much faster likely produce stable object testtime optimization notably dso framework work even without groundtruth 3d object training allowing 3d generator selfimprove automatically collecting simulation feedback output
2503.22678v1,Self-Evolving Multi-Agent Simulations for Realistic Clinical Interactions,"['Mohammad Almansoori', 'Komal Kumar', 'Hisham Cholakkal']","In this work, we introduce MedAgentSim, an open-source simulated clinical environment with doctor, patient, and measurement agents designed to evaluate and enhance LLM performance in dynamic diagnostic settings. Unlike prior approaches, our framework requires doctor agents to actively engage with patients through multi-turn conversations, requesting relevant medical examinations (e.g., temperature, blood pressure, ECG) and imaging results (e.g., MRI, X-ray) from a measurement agent to mimic the real-world diagnostic process. Additionally, we incorporate self improvement mechanisms that allow models to iteratively refine their diagnostic strategies. We enhance LLM performance in our simulated setting by integrating multi-agent discussions, chain-of-thought reasoning, and experience-based knowledge retrieval, facilitating progressive learning as doctor agents interact with more patients. We also introduce an evaluation benchmark for assessing the LLM's ability to engage in dynamic, context-aware diagnostic interactions. While MedAgentSim is fully automated, it also supports a user-controlled mode, enabling human interaction with either the doctor or patient agent. Comprehensive evaluations in various simulated diagnostic scenarios demonstrate the effectiveness of our approach. Our code, simulation tool, and benchmark are available at \href{https://medagentsim.netlify.app/}.",2025-03-28,['cs.CL'],http://arxiv.org/pdf/2503.22678v1,work introduce medagentsim opensource simulated clinical environment doctor patient measurement agent designed evaluate enhance llm performance dynamic diagnostic setting unlike prior approach framework requires doctor agent actively engage patient multiturn conversation requesting relevant medical examination eg temperature blood pressure ecg imaging result eg mri xray measurement agent mimic realworld diagnostic process additionally incorporate self improvement mechanism allow model iteratively refine diagnostic strategy enhance llm performance simulated setting integrating multiagent discussion chainofthought reasoning experiencebased knowledge retrieval facilitating progressive learning doctor agent interact patient also introduce evaluation benchmark assessing llm ability engage dynamic contextaware diagnostic interaction medagentsim fully automated also support usercontrolled mode enabling human interaction either doctor patient agent comprehensive evaluation various simulated diagnostic scenario demonstrate effectiveness approach code simulation tool benchmark available hrefhttpsmedagentsimnetlifyapp
2503.22676v1,TranSplat: Lighting-Consistent Cross-Scene Object Transfer with 3D Gaussian Splatting,"['Boyang', 'Yu', 'Yanlin Jin', 'Ashok Veeraraghavan', 'Akshat Dave', 'Guha Balakrishnan']","We present TranSplat, a 3D scene rendering algorithm that enables realistic cross-scene object transfer (from a source to a target scene) based on the Gaussian Splatting framework. Our approach addresses two critical challenges: (1) precise 3D object extraction from the source scene, and (2) faithful relighting of the transferred object in the target scene without explicit material property estimation. TranSplat fits a splatting model to the source scene, using 2D object masks to drive fine-grained 3D segmentation. Following user-guided insertion of the object into the target scene, along with automatic refinement of position and orientation, TranSplat derives per-Gaussian radiance transfer functions via spherical harmonic analysis to adapt the object's appearance to match the target scene's lighting environment. This relighting strategy does not require explicitly estimating physical scene properties such as BRDFs. Evaluated on several synthetic and real-world scenes and objects, TranSplat yields excellent 3D object extractions and relighting performance compared to recent baseline methods and visually convincing cross-scene object transfers. We conclude by discussing the limitations of the approach.",2025-03-28,['cs.CV'],http://arxiv.org/pdf/2503.22676v1,present transplat 3d scene rendering algorithm enables realistic crossscene object transfer source target scene based gaussian splatting framework approach address two critical challenge 1 precise 3d object extraction source scene 2 faithful relighting transferred object target scene without explicit material property estimation transplat fit splatting model source scene using 2d object mask drive finegrained 3d segmentation following userguided insertion object target scene along automatic refinement position orientation transplat derives pergaussian radiance transfer function via spherical harmonic analysis adapt object appearance match target scene lighting environment relighting strategy require explicitly estimating physical scene property brdfs evaluated several synthetic realworld scene object transplat yield excellent 3d object extraction relighting performance compared recent baseline method visually convincing crossscene object transfer conclude discussing limitation approach
2503.22675v1,Think Before Recommend: Unleashing the Latent Reasoning Power for Sequential Recommendation,"['Jiakai Tang', 'Sunhao Dai', 'Teng Shi', 'Jun Xu', 'Xu Chen', 'Wen Chen', 'Wu Jian', 'Yuning Jiang']","Sequential Recommendation (SeqRec) aims to predict the next item by capturing sequential patterns from users' historical interactions, playing a crucial role in many real-world recommender systems. However, existing approaches predominantly adopt a direct forward computation paradigm, where the final hidden state of the sequence encoder serves as the user representation. We argue that this inference paradigm, due to its limited computational depth, struggles to model the complex evolving nature of user preferences and lacks a nuanced understanding of long-tail items, leading to suboptimal performance. To address this issue, we propose \textbf{ReaRec}, the first inference-time computing framework for recommender systems, which enhances user representations through implicit multi-step reasoning. Specifically, ReaRec autoregressively feeds the sequence's last hidden state into the sequential recommender while incorporating special reasoning position embeddings to decouple the original item encoding space from the multi-step reasoning space. Moreover, we introduce two lightweight reasoning-based learning methods, Ensemble Reasoning Learning (ERL) and Progressive Reasoning Learning (PRL), to further effectively exploit ReaRec's reasoning potential. Extensive experiments on five public real-world datasets and different SeqRec architectures demonstrate the generality and effectiveness of our proposed ReaRec. Remarkably, post-hoc analyses reveal that ReaRec significantly elevates the performance ceiling of multiple sequential recommendation backbones by approximately 30\%-50\%. Thus, we believe this work can open a new and promising avenue for future research in inference-time computing for sequential recommendation.",2025-03-28,"['cs.IR', 'cs.AI', 'cs.CL']",http://arxiv.org/pdf/2503.22675v1,sequential recommendation seqrec aim predict next item capturing sequential pattern user historical interaction playing crucial role many realworld recommender system however existing approach predominantly adopt direct forward computation paradigm final hidden state sequence encoder serf user representation argue inference paradigm due limited computational depth struggle model complex evolving nature user preference lack nuanced understanding longtail item leading suboptimal performance address issue propose textbfrearec first inferencetime computing framework recommender system enhances user representation implicit multistep reasoning specifically rearec autoregressively feed sequence last hidden state sequential recommender incorporating special reasoning position embeddings decouple original item encoding space multistep reasoning space moreover introduce two lightweight reasoningbased learning method ensemble reasoning learning erl progressive reasoning learning prl effectively exploit rearecs reasoning potential extensive experiment five public realworld datasets different seqrec architecture demonstrate generality effectiveness proposed rearec remarkably posthoc analysis reveal rearec significantly elevates performance ceiling multiple sequential recommendation backbone approximately 3050 thus believe work open new promising avenue future research inferencetime computing sequential recommendation
2503.22674v1,QuestBench: Can LLMs ask the right question to acquire information in reasoning tasks?,"['Belinda Z. Li', 'Been Kim', 'Zi Wang']","Recently, a large amount of work has focused on improving large language models' (LLMs') performance on reasoning benchmarks such as math and logic. However, past work has largely assumed that tasks are well-defined. In the real world, queries to LLMs are often underspecified, only solvable through acquiring missing information. We formalize this as a constraint satisfaction problem (CSP) with missing variable assignments. Using a special case of this formalism where only one necessary variable assignment is missing, we can rigorously evaluate an LLM's ability to identify the minimal necessary question to ask and quantify axes of difficulty levels for each problem. We present QuestBench, a set of underspecified reasoning tasks solvable by asking at most one question, which includes: (1) Logic-Q: Logical reasoning tasks with one missing proposition, (2) Planning-Q: PDDL planning problems with initial states that are partially-observed, (3) GSM-Q: Human-annotated grade school math problems with one missing variable assignment, and (4) GSME-Q: a version of GSM-Q where word problems are translated into equations by human annotators. The LLM is tasked with selecting the correct clarification question(s) from a list of options. While state-of-the-art models excel at GSM-Q and GSME-Q, their accuracy is only 40-50% on Logic-Q and Planning-Q. Analysis demonstrates that the ability to solve well-specified reasoning problems may not be sufficient for success on our benchmark: models have difficulty identifying the right question to ask, even when they can solve the fully specified version of the problem. Furthermore, in the Planning-Q domain, LLMs tend not to hedge, even when explicitly presented with the option to predict ``not sure.'' This highlights the need for deeper investigation into models' information acquisition capabilities.",2025-03-28,"['cs.AI', 'cs.CL', 'cs.LG']",http://arxiv.org/pdf/2503.22674v1,recently large amount work focused improving large language model llm performance reasoning benchmark math logic however past work largely assumed task welldefined real world query llm often underspecified solvable acquiring missing information formalize constraint satisfaction problem csp missing variable assignment using special case formalism one necessary variable assignment missing rigorously evaluate llm ability identify minimal necessary question ask quantify ax difficulty level problem present questbench set underspecified reasoning task solvable asking one question includes 1 logicq logical reasoning task one missing proposition 2 planningq pddl planning problem initial state partiallyobserved 3 gsmq humanannotated grade school math problem one missing variable assignment 4 gsmeq version gsmq word problem translated equation human annotator llm tasked selecting correct clarification question list option stateoftheart model excel gsmq gsmeq accuracy 4050 logicq planningq analysis demonstrates ability solve wellspecified reasoning problem may sufficient success benchmark model difficulty identifying right question ask even solve fully specified version problem furthermore planningq domain llm tend hedge even explicitly presented option predict sure highlight need deeper investigation model information acquisition capability
2503.22673v1,ActionStudio: A Lightweight Framework for Data and Training of Action Models,"['Jianguo Zhang', 'Thai Hoang', 'Ming Zhu', 'Zuxin Liu', 'Shiyu Wang', 'Tulika Awalgaonkar', 'Akshara Prabhakar', 'Haolin Chen', 'Weiran Yao', 'Zhiwei Liu', 'Juntao Tan', 'Juan Carlos Niebles', 'Shelby Heinecke', 'Huan Wang', 'Silvio Savarese', 'Caiming Xiong']","Action models are essential for enabling autonomous agents to perform complex tasks. However, training large action models remains challenging due to the diversity of agent environments and the complexity of agentic data. Despite growing interest, existing infrastructure provides limited support for scalable, agent-specific fine-tuning. We present ActionStudio, a lightweight and extensible data and training framework designed for action models. ActionStudio unifies heterogeneous agent trajectories through a standardized format, supports diverse training paradigms including LoRA, full fine-tuning, and distributed setups, and integrates robust preprocessing and verification tools. We validate its effectiveness across both public and realistic industry benchmarks, demonstrating strong performance and practical scalability. We open-sourced code and data at https://github.com/SalesforceAIResearch/xLAM to facilitate research in the community.",2025-03-28,"['cs.AI', 'cs.CL']",http://arxiv.org/pdf/2503.22673v1,action model essential enabling autonomous agent perform complex task however training large action model remains challenging due diversity agent environment complexity agentic data despite growing interest existing infrastructure provides limited support scalable agentspecific finetuning present actionstudio lightweight extensible data training framework designed action model actionstudio unifies heterogeneous agent trajectory standardized format support diverse training paradigm including lora full finetuning distributed setup integrates robust preprocessing verification tool validate effectiveness across public realistic industry benchmark demonstrating strong performance practical scalability opensourced code data httpsgithubcomsalesforceairesearchxlam facilitate research community
2503.22672v1,Exploring the Effectiveness of Multi-stage Fine-tuning for Cross-encoder Re-rankers,"['Francesca Pezzuti', 'Sean MacAvaney', 'Nicola Tonellotto']","State-of-the-art cross-encoders can be fine-tuned to be highly effective in passage re-ranking. The typical fine-tuning process of cross-encoders as re-rankers requires large amounts of manually labelled data, a contrastive learning objective, and a set of heuristically sampled negatives. An alternative recent approach for fine-tuning instead involves teaching the model to mimic the rankings of a highly effective large language model using a distillation objective. These fine-tuning strategies can be applied either individually, or in sequence. In this work, we systematically investigate the effectiveness of point-wise cross-encoders when fine-tuned independently in a single stage, or sequentially in two stages. Our experiments show that the effectiveness of point-wise cross-encoders fine-tuned using contrastive learning is indeed on par with that of models fine-tuned with multi-stage approaches. Code is available for reproduction at https://github.com/fpezzuti/multistage-finetuning.",2025-03-28,"['cs.IR', 'cs.AI']",http://arxiv.org/pdf/2503.22672v1,stateoftheart crossencoders finetuned highly effective passage reranking typical finetuning process crossencoders rerankers requires large amount manually labelled data contrastive learning objective set heuristically sampled negative alternative recent approach finetuning instead involves teaching model mimic ranking highly effective large language model using distillation objective finetuning strategy applied either individually sequence work systematically investigate effectiveness pointwise crossencoders finetuned independently single stage sequentially two stage experiment show effectiveness pointwise crossencoders finetuned using contrastive learning indeed par model finetuned multistage approach code available reproduction httpsgithubcomfpezzutimultistagefinetuning
2503.22669v1,"Light Tree Covers, Routing, and Path-Reporting Oracles via Spanning Tree Covers in Doubling Graphs","['Hsien-Chih Chang', 'Jonathan Conroy', 'Hung Le', 'Shay Solomon', 'Cuong Than']","A $(1+\varepsilon)$-stretch tree cover of an edge-weighted $n$-vertex graph $G$ is a collection of trees, where every pair of vertices has a $(1+\varepsilon)$-stretch path in one of the trees. The celebrated Dumbbell Theorem by Arya et. al. [STOC'95] states that any set of $n$ points in $d$-dimensional Euclidean space admits a $(1+\varepsilon)$-stretch tree cover with a constant number of trees, where the constant depends on $\varepsilon$ and the dimension $d$. This result was generalized for arbitrary doubling metrics by Bartal et. al. [ICALP'19]. While the total number of edges in the tree covers of Arya et. al. and Bartal et. al. is $O(n)$, all known tree cover constructions incur a total lightness of $\Omega(\log n)$; whether one can get a tree cover of constant lightness has remained a longstanding open question, even for 2-dimensional point sets.   In this work we resolve this fundamental question in the affirmative, as a direct corollary of a new construction of $(1+\varepsilon)$-stretch spanning tree cover for doubling graphs; in a spanning tree cover, every tree may only use edges of the input graph rather than the corresponding metric. To the best of our knowledge, this is the first constant-stretch spanning tree cover construction (let alone for $(1+\varepsilon)$-stretch) with a constant number of trees, for any nontrivial family of graphs.   Concrete applications of our spanning tree cover include a $(1+\varepsilon)$-stretch light tree cover, a compact $(1+\varepsilon)$-stretch routing scheme in the labeled model, and a $(1+\varepsilon)$-stretch path-reporting distance oracle, for doubling graphs. [...]",2025-03-28,['cs.DS'],http://arxiv.org/pdf/2503.22669v1,1varepsilonstretch tree cover edgeweighted nvertex graph g collection tree every pair vertex 1varepsilonstretch path one tree celebrated dumbbell theorem arya et al stoc95 state set n point ddimensional euclidean space admits 1varepsilonstretch tree cover constant number tree constant depends varepsilon dimension result generalized arbitrary doubling metric bartal et al icalp19 total number edge tree cover arya et al bartal et al known tree cover construction incur total lightness omegalog n whether one get tree cover constant lightness remained longstanding open question even 2dimensional point set work resolve fundamental question affirmative direct corollary new construction 1varepsilonstretch spanning tree cover doubling graph spanning tree cover every tree may use edge input graph rather corresponding metric best knowledge first constantstretch spanning tree cover construction let alone 1varepsilonstretch constant number tree nontrivial family graph concrete application spanning tree cover include 1varepsilonstretch light tree cover compact 1varepsilonstretch routing scheme labeled model 1varepsilonstretch pathreporting distance oracle doubling graph
2503.22668v1,Understanding Co-speech Gestures in-the-wild,"['Sindhu B Hegde', 'K R Prajwal', 'Taein Kwon', 'Andrew Zisserman']","Co-speech gestures play a vital role in non-verbal communication. In this paper, we introduce a new framework for co-speech gesture understanding in the wild. Specifically, we propose three new tasks and benchmarks to evaluate a model's capability to comprehend gesture-text-speech associations: (i) gesture-based retrieval, (ii) gestured word spotting, and (iii) active speaker detection using gestures. We present a new approach that learns a tri-modal speech-text-video-gesture representation to solve these tasks. By leveraging a combination of global phrase contrastive loss and local gesture-word coupling loss, we demonstrate that a strong gesture representation can be learned in a weakly supervised manner from videos in the wild. Our learned representations outperform previous methods, including large vision-language models (VLMs), across all three tasks. Further analysis reveals that speech and text modalities capture distinct gesture-related signals, underscoring the advantages of learning a shared tri-modal embedding space. The dataset, model, and code are available at: https://www.robots.ox.ac.uk/~vgg/research/jegal",2025-03-28,['cs.CV'],http://arxiv.org/pdf/2503.22668v1,cospeech gesture play vital role nonverbal communication paper introduce new framework cospeech gesture understanding wild specifically propose three new task benchmark evaluate model capability comprehend gesturetextspeech association gesturebased retrieval ii gestured word spotting iii active speaker detection using gesture present new approach learns trimodal speechtextvideogesture representation solve task leveraging combination global phrase contrastive loss local gestureword coupling loss demonstrate strong gesture representation learned weakly supervised manner video wild learned representation outperform previous method including large visionlanguage model vlms across three task analysis reveals speech text modality capture distinct gesturerelated signal underscoring advantage learning shared trimodal embedding space dataset model code available httpswwwrobotsoxacukvggresearchjegal
